//Vanilla
Invert X|Spiegel X
Invert Y|Spiegel Y
Champion|Kampioen
NEW GAME|NIEUW SPEL
THE MONK|DE MONNIK
The Wall|De Muur
The Monk|De Monnik
WINDOWED|IN VENSTER
LANGUAGE|TAAL
JAPANESE|JAPANS
KEYBOARD|TOETSENBORD
Keyboard|Toetsenbord
4 - TEST|4 - TEST
STANDARD|STANDAARD
CONTINUE|VERDERGAAN
Add item|Voorwerp toevoegen
Deaths :|Keer Gestorven :
Ascended|Verheven
PREVIOUS|VORIGE
SaveData|Opgeslagen Gegevens
Presets:|Presets:
Oh. You.|Oh. Jij.
creature|wezen
invert_x_description|Spiegel horizontale axis voor analoge stick controls.
invert_y_description|Spiegel verticale axis voor analoge stick controls.
rounds per level-ru2|rondes per level
objecttype-FlareBomb|Flitsbom
objecttype-DataPearl|Parel
objecttype-JellyFish|Kwal
objecttype-SlimeMold|Slijmschimmel
objecttype-EggBugEgg|Eierdragerei
objecttype-NeedleEgg|Noedelvliegei
creaturetype-Slugcat|Slakkat
creaturetype-Vulture|Gier
creaturetype-CicadaA|Octocade
creaturetype-CicadaB|Octocade
creaturetype-JetFish|Straalvis
creaturetype-DropBug|Valwants
Communications Array|Communicatie Opstelling
Stolen Enlightenment|Gestolen Verlichting
Path of the pacifist|Pad van de pacifist
The Saint-linebreaks|De Heilige
switch_controls_jump|B-Knop
Gametype description|Beschrijving van het speltype
Play each level once|Speel elk level een keer
Normal Rain World AI|Normale Rain World KI
for killing creature|voor het doden van wezens
Persistent creatures|Hardnekkige wezens
controller_reconnect|Herverbind de controller voor speler {0}.
mod_menu_requirement|Benodigde aanvullende mods:
mod_menu_ext_authors|Bekijk de credits voor deze mod
mod_menu_disable_all|Schakel alle mods uit
Building token cache|Token cache bouwen
OpCheckBox_MouseTuto|Druk om te schakelen
OpUpdown_NonMouseUse|Gebruik de joystick om aan te passen, druk op BEVESTIGEN om aan te brengen
MenuModStat_ModsFail|Geïnstalleerde mods die benodigheden missen:
Connector_UnnamedTab|#<TabIndex>
Increased stun times|Toegenomen verdoving tijden
Wiggle out of grasps|Uit houdgrepen los kronkelen
Key items on Passage|Sleutel Voorwerpen mee door Doorgang
Monk extended breath|Monnik extra lucht
Breath time leniency|Lucht gratie periode
Rain timer tick-tock|Regen timer tik-tak
Vulnerable jellyfish|Doorsteekbare kwallen
Unlock all campaigns|Ontgrendel alle campagnes
More Slugcats Cheats|Meer Slakkatten Cheats
Exit to title screen|Terug naar titelscherm
Preparing for upload|Voorbereiden voor upload
devtools-description|Schakelt de in-spel Developer Tools in die de benodigde tools bieden om kaarten en gebieden te bewerken, en om te helpen met het modding proces van het spel.<LINE><LINE>Druk op O tijdens het spelen om Dev Tools in/uit te schakelen, en druk op H om het hoofd Dev Tools interface op te brengen.
...leave me alone...|...laat me alleen...
Hello, <PlayerName>!|Hallo, <PlayerName>!
Hello, <PlayerName>.|Hallo, <PlayerName>.
...don't... do that.|...doe... dat niet.
Another gift for me?|Nog een geschenk voor mij?
Again? ... just, go.|Alweer? ... ga gewoon.
Little archaeologist|Kleine archeoloog
remix_game_version|De spel's versie is geüpdatet. Je moet je mods opnieuw aanbrengen via het REMIX menu.
ROUNDS SESSION-ru2|RONDES SESSIE
objecttype-SeedCob|Popcorn Plant
objecttype-Lantern|Lantaarn
objecttype-FlyLure|Vleergras
creaturetype-Leech|Bloedzuiger
creaturetype-Snail|Slak
creaturetype-Hazer|Nevelaar
Industrial Complex|Industrieel Complex
Scavenger Merchant|Handelaars-Schooier
Path of aggression|Pad van aggressie
Catch and eat them|Vang en eet ze
Configure controls|Controls configureren
No players joined!|Geen spelers doen mee!
Start new playlist|Start nieuwe speellijst
minutes until rain|minuten tot de regen
mod_menu_next_page|Bekijk de volgende pagina met geïnstalleerde mods
mod_menu_prev_page|Bekijk de vorige pagina met geïnstalleerde mods
mod_menu_configure|Verander de configuraties en instellingen voor de geselecteerde mod
OpUpdown_MouseTuto|Klik en typ nummers in, gebruik pijlen of de scrollwheel om aan te passen
Dialog pauses rain|Dialoog pauzeert de regen
Lizard spear pulls|Hagedis trekt speren
Slow Motion Factor|Slow Motion Factoor
remix_first_launch|Aanvullende inhoud en configuraties kunnen bereikt worden via het REMIX menu. Gebruik REMIX om de inhoud toe te voegen, te veranderen, of te personaliseren die beschikbaar is in jouw Rain World playthrough.
remix_dlc_redirect|Om meer te leren, klik op de inhoud om naar de winkelpagina te gaan.
How have you been?|Hoe gaat het ermee?
You're here again.|Je bent er weer.
...you...killed...|...je...doodde...
Yet another thing?|Alweer een ding?
Yet again leaving.|Je gaat alweer.
Yes, there you go.|Ja, daar ga je.
As I was saying...|Zoals ik zei...
Stay! ... Still...|Blijf! ... Stil...
I am... too tired.|Ik ben... te moe.
Assign player <X> to the default controls|Wijs speler <X> de standaard controls toe
Something lurks above the chimney tops...|Er hangt iets rond boven de schoorsteen toppen...
These pearls are valued by the Scavengers|Deze parels worden gewaardeerd door de Schooiers
Game Over - Press PAUSE BUTTON to restart|Game Over - Druk op de PAUZEKNOP om te herstarten
Player <X> will use any connected gamepad|Speler <X> gebruikt elk verbonden apparaat
switch_single_joycon_fast_travel_map_help|Druk op de SR Knop om de schuilplaats te selecteren waarvan je wilt verdergaan
Press the MAP button to view regional map|Druk op de KAART knop om de regionale kaart te bekijken
Jellyfish are vulnerable to being stabbed|Kwallen kunnen doorgestoken worden
Are you sure you want to use this preset?|Weet je zeker dat je deze preset wilt gebruiken?
Makes Saint's body immune to the elements|Maakt De Heilige's lichaam immuun tegen de elementen
The operation timed out. Try again later.|De operatie timed out. Probeer het later nog eens.
This item already exists on the workshop.|Dit item bestaat al op de workshop.
Previously uploaded mod has been updated.|Een eerder geüploade mod is geüpdatet.
And...now you expect me to... talk again?|En...nu verwacht je me om... weer te praten?
PRESET|PRESET
CANCEL|ANNULEREN
Depths|De Dieptes
SCREEN|SCHERM
FRENCH|FRANS
GERMAN|DUITS
KOREAN|KOREAANS
Player|Speler
Square|Vierkant
Circle|Cirkel
Arrows|Pijlen
Paused|Gepauzeerd
minute|minuut
PLAYER|SPELER
ALWAYS|ALTIJD
REMOVE|VERWIJDEREN
Food :|Voedsel :
Time :|Tijd :
cancel|Annuleren
Select|Selecteren
? Back|? Terug
? play|? spelen
Legacy|Legacy
Cheats|Cheats
MANUAL|HANDLEIDING
TOPICS|ONDERWERPEN
UPLOAD|UPLOADEN
LEAVE.|GA.
You...|Jij...
Hello!|Hallo!
Hello.|Hallo.
Again.|Alweer.
*sigh*|*zucht*
friend|vriend
little|klein
Clear the game as Survivor or Monk to unlock.|Voltooi het spel als De Overlever of De Monnik om dit te ontgrendelen.
Objects can be picked up, carried, and tossed|Voorwerpen kunnen opgepakt, gedragen en gegooid worden
Some small creatures can be eaten immediately|Sommige kleine wezens kunnen onmiddellijk worden opgegeten
MenuModList_ModButton_Enable_NonMouse_Console|Druk op BEVESTIGEN om deze content in te schakelen, druk op RECHTS om terug naar de lijst te gaan
Show icons of nearby creatures on the minimap|Laat iconen van dichtbijzijnde wezens zien op de minikaart
You are bringing a neuron. Is it to taunt me?|Je hebt een zenuwcel gebracht. Is het om met me te spotten?
Your curiosity seems boundless, <PlayerName>.|Jouw nieuwsgierigheid lijkt grenzeloos, <PlayerName>.
remix_dlc_restart|Als je DLC gekocht hebt, moet je het spel herstarten zodat de inhoud beschikbaar wordt.
Expedition Leader|Expeditie Leider
creaturetype-Deer|Regenherten
Looks to the Moon|Kijkt naar de Maan
Filtration System|Filtratie Systeem
The Dragon Slayer|De Drakendoder
Back to main menu|Terug naar het hoofdmenu
1 - SELECT PLAYER|1 - SELECTEER SPELER
2 - SELECT DEVICE|2 - SELECTEER APPARAAT
Previous gametype|Vorige speltype
Reset score setup|Score setup resetten
ps4_press_to_join|Druk op<LINE><LINE><LINE>om mee te doen.
minute until rain|minuut tot de regen
per point of food|per voedselpunt
Delivered Payload|Lading Geleverd
Leaderboard empty|Leiderbord leeg
mod_menu_finalize|(Mods aanbrengen voltooien, even geduld...)
MenuModStat_ModID|ID: <ModID>
Key item tracking|Sleutel voorwerp tracken
Alpha red lizards|Alfa rode hagedissen
Unlock all arenas|Ontgrendel alle arenas
moreslugcats-name|Meer Slakkatten Uitbreiding
Yet another gift?|Alweer een geschenk?
And you are back.|En je bent terug.
A Helping Hand|Een Helpende Hand
mod_menu_error|Gefaald om mods aan te brengen door de volgende fout:
Garbage Wastes|Vuilniswoestenij
Shaded Citadel|Verduisterd Citadel
Chimney Canopy|Schoorsteendaken
Unknown Region|Onbekend Gebied
Scavenger Toll|Schooier-Tol
RESET PROGRESS|VOORTGANG RESETTEN
Input Settings|Input Instellingen
Pick-Up Button|Oppakken Knop
ROUNDS SESSION|RONDES SESSIE
RESUME SESSION|VEDERGAAN MET SESSIE
Clear playlist|Verwijder speellijst
Eating contest|Eetwedstrijd
Aggressive AI:|Agressieve KI:
Change Profile|Verander van Profiel
mod_menu_apply|Veranderingen aanbrengen aan geselecteerde mods
Speedrun timer|Speedrun timer
jollycoop-name|Vrolijke Co-op
Leaving again.|Je gaat alweer.
Within Time|Binnen de Tijd
The Pilgrim|De Pelgrim
DELETE SAVE|OPSLAG VERWIJDEREN
Sky Islands|Hemeleilanden
Farm Arrays|Akkerrijen
The Scholar|De Leergierige
The Journey|De Reis
Arena Music|Arena Muziek
Jump Button|Springen Knop
NEW SESSION|NIEUWE SESSIE
Spears Hit:|Speren Raken:
Rain Timer:|Regen Timer:
No wildlife|Geen wild
Level Food:|Level Voedsel:
Allow exit:|Verlaten toestaan:
Early Rain:|Vroege Regen:
SCREEN SIZE|SCHERMGROOTTE
Slug Senses|Slak Zintuigen
...leave...|...ga weg...
This again.|Dit alweer.
And...back.|En...terug.
Back again.|Alweer terug.
Here again.|Hier alweer.
I...said...|Ik...zei...
Migration|Migratie
Messenger|Boodschapper
The Cycle|De Cyclus
The Nomad|De Nomade
Outskirts|Buitenwijken
Shoreline|Kustlijn
Underhang|De Onderhang
The Saint|De Heilige
Ascension|Verheffing
SAVE SLOT|OPSLAG SLOT
vibration|Vibratie
Connected|Verbonden
Wildlife:|Wild:
Spear hit|Speertreffer
GAME OVER|GAME OVER
Clear all|Verwijder alles
? Confirm|? Bevestigen
NEXT PAGE|VOLGENDE PAGINA
Next Page|Volgende Pagina
CONFIGURE|CONFIGUREREN
Author(s)|Auteer(s)
VIEW EULA|BEKIJK EULA
Uploading|Uploaden
A neuron.|Een zenuwcel.
tormentor|martelaar
